GEOID,Type,Business,lat,lon,Location,SNAP_EBT,WIC_FMNP,Senior_FMNP,VA_Fresh_Match,FI_Rate,totalPopulation,CountOfDollarStores,CountOfGroceryStores,DollarToGroceryRatio,PeoplePerGrocery
51019,F,Montvale Farmers Market,37.38565493,-79.73189067,"11555 W Lynchburg Salem Turnpike, Montvale, VA 24122, USA",No,No,No,No,10.7,79761,13,7,1.86,11394
51019,F,Moneta Farmers Market,37.17824785,-79.62442708,"13641 Moneta Rd, Moneta, VA 24121, USA",No,No,No,No,10.7,79761,13,7,1.86,11394
51019,F,Bedford Farmers Market,37.33376141,-79.52482584,"220 W Washington St, Bedford, VA 24523, USA",Yes,No,No,Yes,10.7,79761,13,7,1.86,11394
51019,F,Forest Farmer's Market LLC,37.36492828,-79.28499749,"15583 Forest Rd, Forest, VA 24551, USA",Yes,Yes,Yes,Yes,10.7,79761,13,7,1.86,11394
51021,F,Bland County Farmers Market,37.10078808,-81.11497381,"591 Main St, Bland, VA 24315, USA",No,Yes,Yes,No,12.5,6241,1,0,Inf,Inf
51023,F,Botetourt Farmers Market,37.41674054,-79.91276952,"90 Town Center Street, Daleville, VA 24083, USA",No,No,No,No,10,33734,5,3,1.67,11245
51035,F,Southwest Virginia Farmers' Market,36.74206667,-80.77250683,"497 Farmers Market Dr, Woodlawn, VA 24381, USA",No,Yes,Yes,No,14.6,29126,7,1,7,29126
51035,F,Town of Hillsville Farmers Market,36.76601682,-80.73629061,"405 N Main St, Hillsville, VA 24343, USA",Yes,No,No,Yes,14.6,29126,7,1,7,29126
51051,F,Clintwood Farmers Market,37.14817764,-82.45677147,"200 Chase St, Clintwood, VA 24228, USA",No,Yes,Yes,No,21.2,14089,2,1,2,14089
51063,F,Floyd Farmers Market,36.91067856,-80.31981343,"203 S Locust St, Floyd, VA 24091, USA",Yes,No,No,No,11,15532,4,1,4,15532
51067,F,Rocky Mount Farmers' Market,36.99706099,-79.89185774,"435 Franklin St, Rocky Mount, VA 24151, USA",Yes,Yes,Yes,Yes,12.7,54838,10,4,2.5,13710
51071,F,Narrows Farmers Market,37.33087947,-80.81157739,"135 Monroe St, Narrows, VA 24124, USA",No,No,No,No,11.9,16711,6,2,3,8356
51071,F,Pearisburg Community Market,37.32496094,-80.71939539,"1410 Wenonah Ave, Pearisburg, VA 24134, USA",Yes,No,No,No,11.9,16711,6,2,3,8356
51077,F,Independence Farmers Market,36.62278055,-81.15147906,"State Rte T 1137, Independence, VA 24348, USA",Yes,Yes,Yes,Yes,15.5,15356,2,1,2,15356
51089,F,Bassett Train Station Market,36.75897698,-79.99067223,"3536 Fairystone Park Hwy, Bassett, VA 24055, USA",Yes,Yes,Yes,No,14.4,50760,21,5,4.2,10152
51121,F,Friends of the Farmers Market (Blacksburg),37.22921959,-80.41444134,"108 W Roanoke St, Blacksburg, VA 24060, USA",Yes,No,No,Yes,13.5,99373,9,9,1,11041
51121,F,Christiansburg Farmers Market,37.15193065,-80.4166625,"1600 N Franklin St, Christiansburg, VA 24073, USA",Yes,No,No,Yes,13.5,99373,9,9,1,11041
51141,F,Stuart Farmers Market,36.63753999,-80.26888241,"320 Chestnut Ave, Stuart, VA 24171, USA",Yes,Yes,Yes,No,14,17660,4,1,4,17660
