"Year","totalNumFoodInsecure","totalPopulation","FI_Rate","totalNumPOV","POV","totalNumUN","UN"
2010,1105712.10740892,7841754,14.1,749877.725499908,9.6,587494.399008258,7.5
2011,1094458.99288201,7926192,13.8,785424.094838284,9.9,532462.749971446,6.7
2012,1076941.01552918,8014955,13.4,826789.750694007,10.3,487071.986982461,6.1
2013,1073940.57560007,8100653,13.3,855730.847370917,10.6,462273.559994831,5.7
2014,1068196.77198631,8185131,13.1,882387.61572713,10.8,427287.314,5.2
2015,1041396.94945996,8256630,12.6,894613.48793298,10.8,369875.306,4.5
2016,1035922.27592762,8310301,12.5,893851.57401641,10.8,339251.27,4.1
2017,1017946.21040279,8365952,12.2,878945.90468632,10.5,312870.228,3.7
2018,1005750.76516951,8413774,12,865047.47774473,10.3,257728.864,3.1
2019,1001978.36462964,8454463,11.9,837927.33272088,9.9,238468.207,2.8
2020,888320.79407379,8509358,10.4,801746.35922156,9.4,553249.694,6.5
2021,932728.144218564,8582479,10.9,805100.5332605,9.4,336547.51,3.9
2022,1113832.85536855,8624511,12.9,814597.75639645,9.4,242334.463,2.8
2023,963595.76299297,8666159.18536764,11.1,815106.981406527,9.4,263808.47872535,3
2024,962014.248657003,8710964.23166187,11,816796.862502536,9.4,263755.823138609,3
2025,958002.436783313,8753106.541,10.9,818940.944951193,9.4,263616.88315669,3
2026,957193.69047052,8796241.409,10.9,820409.806477739,9.3,263966.858556802,3
2027,959362.307180481,8838578.637,10.9,821305.556940746,9.3,264701.879068147,3
