"Year","totalNumFoodInsecure","totalPopulation","FI_Rate","totalNumPOV","POV","totalNumUN","UN"
2010,3698041.36474445,22183012,16.7,3227791.42054739,14.6,2231758.848,10.1
2011,3704601.4951316,22297458,16.6,3342730.42642577,15,2050573.991,9.2
2012,3636100.45281082,22374106,16.3,3456315.23586868,15.4,1889542.554,8.4
2013,3579734.3477129,22432552,16,3557425.4982983,15.9,1766367.749,7.9
2014,3498105.96821416,22484260,15.6,3603614.22837211,16,1492712.411,6.6
2015,3391841.2279601,22526565,15.1,3606020.84777736,16,1342589.67,6
2016,3287908.18808305,22561233,14.6,3536973.25201329,15.7,1276939.366,5.7
2017,3223386.22003972,22588949,14.3,3442348.47887434,15.2,1131340.578,5
2018,3130178.87376599,22627138,13.8,3345643.48115058,14.8,993844.305,4.4
2019,3057418.09444637,22672611,13.5,3247561.20533246,14.3,955433.765,4.2
2020,2753076.92328723,22733550,12.1,3144174.70791896,13.8,1737861.855,7.6
2021,2821046.6660632,22847427,12.3,3131251.8296788,13.7,1119708.269,4.9
2022,3258096.48369363,22921692,14.2,3106945.77301015,13.6,878664.506,3.8
2023,2823307.7795307,22960200.7210341,12.3,3108607.22068802,13.5,935439.765891922,4.1
2024,2800175.93608735,23028135.9696164,12.2,3107244.96389797,13.5,905294.602953275,3.9
2025,2773920.19917434,23092215.706226,12,3105879.21904326,13.4,874563.09800217,3.8
2026,2753803.26332517,23162554.04,11.9,3100966.81415748,13.4,845677.617246298,3.7
2027,2739983.68571703,23230131.337,11.8,3093266.41970158,13.3,829862.377145067,3.6
