"","Name","Year","FI_Rate","Type"
"1","Alleghany County, Virginia",2010,12.1,"Actual"
"2","Bedford County, Virginia",2010,9.8,"Actual"
"3","Bland County, Virginia",2010,10.4,"Actual"
"4","Botetourt County, Virginia",2010,8.3,"Actual"
"5","Buchanan County, Virginia",2010,14,"Actual"
"6","Carroll County, Virginia",2010,14.1,"Actual"
"7","Craig County, Virginia",2010,9.7,"Actual"
"8","Dickenson County, Virginia",2010,13.3,"Actual"
"9","Floyd County, Virginia",2010,11.4,"Actual"
"10","Franklin County, Virginia",2010,12.1,"Actual"
"11","Giles County, Virginia",2010,12.6,"Actual"
"12","Grayson County, Virginia",2010,14.5,"Actual"
"13","Henry County, Virginia",2010,18.3,"Actual"
"14","Lee County, Virginia",2010,13.7,"Actual"
"15","Montgomery County, Virginia",2010,13.5,"Actual"
"16","Patrick County, Virginia",2010,14.5,"Actual"
"17","Pittsylvania County, Virginia",2010,16,"Actual"
"18","Pulaski County, Virginia",2010,13.1,"Actual"
"19","Roanoke County, Virginia",2010,8.3,"Actual"
"20","Russell County, Virginia",2010,14,"Actual"
"21","Scott County, Virginia",2010,13.7,"Actual"
"22","Smyth County, Virginia",2010,14.7,"Actual"
"23","Tazewell County, Virginia",2010,11.8,"Actual"
"24","Washington County, Virginia",2010,12.3,"Actual"
"25","Wise County, Virginia",2010,13.1,"Actual"
"26","Wythe County, Virginia",2010,13.4,"Actual"
"27","Bristol city, Virginia",2010,15.7,"Actual"
"28","Covington city, Virginia",2010,15.9,"Actual"
"29","Danville city, Virginia",2010,23.3,"Actual"
"30","Galax city, Virginia",2010,17.5,"Actual"
"31","Martinsville city, Virginia",2010,26.4,"Actual"
"32","Norton city, Virginia",2010,13.8,"Actual"
"33","Radford city, Virginia",2010,17.6,"Actual"
"34","Roanoke city, Virginia",2010,16.9,"Actual"
"35","Salem city, Virginia",2010,10.1,"Actual"
"36","Alleghany County, Virginia",2011,10,"Actual"
"37","Bedford County, Virginia",2011,7.9,"Actual"
"38","Bland County, Virginia",2011,8.2,"Actual"
"39","Botetourt County, Virginia",2011,6.2,"Actual"
"40","Buchanan County, Virginia",2011,12.2,"Actual"
"41","Carroll County, Virginia",2011,12,"Actual"
"42","Craig County, Virginia",2011,6.6,"Actual"
"43","Dickenson County, Virginia",2011,12,"Actual"
"44","Floyd County, Virginia",2011,9.5,"Actual"
"45","Franklin County, Virginia",2011,10,"Actual"
"46","Giles County, Virginia",2011,10.2,"Actual"
"47","Grayson County, Virginia",2011,12.4,"Actual"
"48","Henry County, Virginia",2011,16.1,"Actual"
"49","Lee County, Virginia",2011,12.6,"Actual"
"50","Montgomery County, Virginia",2011,14.2,"Actual"
"51","Patrick County, Virginia",2011,12.1,"Actual"
"52","Pittsylvania County, Virginia",2011,12.8,"Actual"
"53","Pulaski County, Virginia",2011,11,"Actual"
"54","Roanoke County, Virginia",2011,7.5,"Actual"
"55","Russell County, Virginia",2011,12.7,"Actual"
"56","Scott County, Virginia",2011,11.3,"Actual"
"57","Smyth County, Virginia",2011,13.6,"Actual"
"58","Tazewell County, Virginia",2011,11,"Actual"
"59","Washington County, Virginia",2011,10.6,"Actual"
"60","Wise County, Virginia",2011,12.5,"Actual"
"61","Wythe County, Virginia",2011,10.8,"Actual"
"62","Bristol city, Virginia",2011,15.4,"Actual"
"63","Covington city, Virginia",2011,14.5,"Actual"
"64","Danville city, Virginia",2011,23.1,"Actual"
"65","Galax city, Virginia",2011,16.2,"Actual"
"66","Martinsville city, Virginia",2011,26,"Actual"
"67","Norton city, Virginia",2011,14.1,"Actual"
"68","Radford city, Virginia",2011,18.7,"Actual"
"69","Roanoke city, Virginia",2011,17.2,"Actual"
"70","Salem city, Virginia",2011,9.8,"Actual"
"71","Alleghany County, Virginia",2012,10,"Actual"
"72","Bedford County, Virginia",2012,8.3,"Actual"
"73","Bland County, Virginia",2012,9.8,"Actual"
"74","Botetourt County, Virginia",2012,7.1,"Actual"
"75","Buchanan County, Virginia",2012,13.4,"Actual"
"76","Carroll County, Virginia",2012,12.2,"Actual"
"77","Craig County, Virginia",2012,8.5,"Actual"
"78","Dickenson County, Virginia",2012,13,"Actual"
"79","Floyd County, Virginia",2012,9.8,"Actual"
"80","Franklin County, Virginia",2012,10.6,"Actual"
"81","Giles County, Virginia",2012,10.6,"Actual"
"82","Grayson County, Virginia",2012,12.8,"Actual"
"83","Henry County, Virginia",2012,14.8,"Actual"
"84","Lee County, Virginia",2012,13.8,"Actual"
"85","Montgomery County, Virginia",2012,14.7,"Actual"
"86","Patrick County, Virginia",2012,12.2,"Actual"
"87","Pittsylvania County, Virginia",2012,12.6,"Actual"
"88","Pulaski County, Virginia",2012,11.5,"Actual"
"89","Roanoke County, Virginia",2012,8.3,"Actual"
"90","Russell County, Virginia",2012,13,"Actual"
"91","Scott County, Virginia",2012,12.3,"Actual"
"92","Smyth County, Virginia",2012,13.6,"Actual"
"93","Tazewell County, Virginia",2012,12.3,"Actual"
"94","Washington County, Virginia",2012,10.6,"Actual"
"95","Wise County, Virginia",2012,14.2,"Actual"
"96","Wythe County, Virginia",2012,11.3,"Actual"
"97","Bristol city, Virginia",2012,15.5,"Actual"
"98","Covington city, Virginia",2012,15.4,"Actual"
"99","Danville city, Virginia",2012,21.7,"Actual"
"100","Galax city, Virginia",2012,15.2,"Actual"
"101","Martinsville city, Virginia",2012,24.3,"Actual"
"102","Norton city, Virginia",2012,15,"Actual"
"103","Radford city, Virginia",2012,18.9,"Actual"
"104","Roanoke city, Virginia",2012,16.9,"Actual"
"105","Salem city, Virginia",2012,11.2,"Actual"
"106","Alleghany County, Virginia",2013,11.5,"Actual"
"107","Bedford County, Virginia",2013,8.8,"Actual"
"108","Bland County, Virginia",2013,11.3,"Actual"
"109","Botetourt County, Virginia",2013,7.9,"Actual"
"110","Buchanan County, Virginia",2013,15.4,"Actual"
"111","Carroll County, Virginia",2013,12.7,"Actual"
"112","Craig County, Virginia",2013,9.6,"Actual"
"113","Dickenson County, Virginia",2013,14.4,"Actual"
"114","Floyd County, Virginia",2013,10.5,"Actual"
"115","Franklin County, Virginia",2013,11,"Actual"
"116","Giles County, Virginia",2013,11.3,"Actual"
"117","Grayson County, Virginia",2013,13.9,"Actual"
"118","Henry County, Virginia",2013,14.9,"Actual"
"119","Lee County, Virginia",2013,15.5,"Actual"
"120","Montgomery County, Virginia",2013,14.8,"Actual"
"121","Patrick County, Virginia",2013,12.8,"Actual"
"122","Pittsylvania County, Virginia",2013,12.9,"Actual"
"123","Pulaski County, Virginia",2013,12.3,"Actual"
