"Year","totalNumFoodInsecure","totalPopulation","FI_Rate","totalNumPOV","POV","totalNumUN","UN"
2010,47821381.0039034,301896312,15.8,39190379.9132468,13,29477552.5902083,9.8
2011,47840375.7516658,304512243,15.7,40915438.3381925,13.4,27650760.9423714,9.1
2012,46625480.8737319,307020488,15.2,42964565.4645219,14,25170010.3317824,8.2
2013,46062761.2720897,309395321,14.9,44765150.7131348,14.5,23208630.0204948,7.5
2014,45045470.3127969,311941507,14.4,45873666.6735178,14.7,19583658.9076,6.3
2015,43630166.7773702,314331135,13.9,45939043.0700277,14.6,16928450.3894,5.4
2016,42270067.5053033,316363494,13.4,45217391.1555149,14.3,15715086.259,5
2017,41396345.6405534,318800628,13,44035229.5620495,13.8,14155043.4256,4.4
2018,40509013.396491,320699132,12.6,42714380.2535953,13.3,12720795.3152,4
2019,39492291.1359428,322495521,12.2,41061127.1752716,12.7,12056037.1016,3.7
2020,35661567.4336124,324369492,11,39593767.7155227,12.2,26300179.8730001,8.1
2021,37499875.5679209,327492086,11.5,39454970.1182721,12,17739774.726,5.4
2022,43968872.3878056,328868147,13.4,39384485.2076202,12,12195870.9423,3.7
2023,37859710.3704736,330465192.007359,11.5,39458154.3398477,11.9,12990243.3329144,3.9
2024,37687375.9491445,332149739.548189,11.3,39524648.9273889,11.9,12952080.317172,3.9
2025,37645871.2021677,333863513.442327,11.3,39587785.2628531,11.9,12860082.9764237,3.9
2026,37564592.305231,335570313.8419,11.2,39616091.737298,11.8,12778802.3266365,3.8
2027,37622811.4216963,337290011.458001,11.2,39609249.3465856,11.7,12741271.2952076,3.8
